0.000000e+00	-8.570000e-02	-8.570000e-02	-8.570000e-02	-8.570000e-02	
5.000000e-05	-8.570075e-02	-8.570075e-02	-8.570075e-02	-8.570075e-02	
1.000000e-04	-8.570171e-02	-8.570171e-02	-8.570171e-02	-8.570171e-02	
1.500000e-04	-8.570275e-02	-8.570275e-02	-8.570275e-02	-8.570275e-02	
2.000000e-04	-8.570388e-02	-8.570388e-02	-8.570388e-02	-8.570388e-02	
2.500000e-04	-8.570508e-02	-8.570508e-02	-8.570508e-02	-8.570508e-02	
3.000000e-04	-8.570635e-02	-8.570635e-02	-8.570635e-02	-8.570635e-02	
3.500000e-04	-8.570768e-02	-8.570768e-02	-8.570768e-02	-8.570768e-02	
4.000000e-04	-8.570907e-02	-8.570907e-02	-8.570907e-02	-8.570907e-02	
4.500000e-04	-8.571050e-02	-8.571050e-02	-8.571050e-02	-8.571050e-02	
5.000000e-04	-8.571199e-02	-8.571199e-02	-8.571199e-02	-8.571199e-02	
5.500000e-04	-8.571351e-02	-8.571351e-02	-8.571351e-02	-8.571351e-02	
6.000000e-04	-8.571508e-02	-8.571508e-02	-8.571508e-02	-8.571508e-02	
6.500000e-04	-8.571668e-02	-8.571668e-02	-8.571668e-02	-8.571668e-02	
7.000000e-04	-8.571832e-02	-8.571832e-02	-8.571832e-02	-8.571832e-02	
7.500000e-04	-8.571998e-02	-8.571998e-02	-8.571998e-02	-8.571998e-02	
8.000000e-04	-8.572168e-02	-8.572168e-02	-8.572168e-02	-8.572168e-02	
8.500000e-04	-8.572341e-02	-8.572341e-02	-8.572341e-02	-8.572341e-02	
9.000000e-04	-8.572516e-02	-8.572516e-02	-8.572516e-02	-8.572516e-02	
9.500000e-04	-8.572693e-02	-8.572693e-02	-8.572693e-02	-8.572693e-02	
1.000000e-03	-8.572872e-02	-8.572872e-02	-8.572872e-02	-8.572872e-02	
1.050000e-03	-8.573054e-02	-8.573054e-02	-8.573054e-02	-8.573054e-02	
1.100000e-03	-8.573238e-02	-8.573238e-02	-8.573238e-02	-8.573238e-02	
1.150000e-03	-8.573423e-02	-8.573423e-02	-8.573423e-02	-8.573423e-02	
1.200000e-03	-8.573611e-02	-8.573611e-02	-8.573611e-02	-8.573611e-02	
1.250000e-03	-8.573799e-02	-8.573799e-02	-8.573799e-02	-8.573799e-02	
1.300000e-03	-8.573990e-02	-8.573990e-02	-8.573990e-02	-8.573990e-02	
1.350000e-03	-8.574182e-02	-8.574182e-02	-8.574182e-02	-8.574182e-02	
1.400000e-03	-8.574375e-02	-8.574375e-02	-8.574375e-02	-8.574375e-02	
1.450000e-03	-8.574570e-02	-8.574570e-02	-8.574570e-02	-8.574570e-02	
1.500000e-03	-8.574766e-02	-8.574766e-02	-8.574766e-02	-8.574766e-02	
1.550000e-03	-8.574964e-02	-8.574964e-02	-8.574964e-02	-8.574964e-02	
1.600000e-03	-8.575162e-02	-8.575162e-02	-8.575162e-02	-8.575162e-02	
1.650000e-03	-8.575362e-02	-8.575362e-02	-8.575362e-02	-8.575362e-02	
1.700000e-03	-8.575562e-02	-8.575562e-02	-8.575562e-02	-8.575562e-02	
