-100.000000	1.110000
-99.000000	1.110000
-98.000000	1.110000
-97.000000	1.110000
-96.000000	1.110000
-95.000000	1.110000
-94.000000	1.110000
-93.000000	1.110000
-92.000000	1.110000
-91.000000	1.110000
-90.000000	1.110000
-89.000000	1.110000
-88.000000	1.110000
-87.000000	1.110000
-86.000000	1.110000
-85.000000	1.110000
-84.000000	1.110000
-83.000000	1.110000
-82.000000	1.110000
-81.000000	1.110000
-80.000000	1.150000
-79.000000	1.190000
-78.000000	1.230000
-77.000000	1.270000
-76.000000	1.310000
-75.000000	1.360000
-74.000000	1.400000
-73.000000	1.450000
-72.000000	1.500000
-71.000000	1.550000
-70.000000	1.600000
-69.000000	1.660000
-68.000000	1.710000
-67.000000	1.770000
-66.000000	1.830000
-65.000000	1.890000
-64.000000	1.950000
-63.000000	2.020000
-62.000000	2.090000
-61.000000	2.160000
-60.000000	2.230000
-59.000000	2.310000
-58.000000	2.390000
-57.000000	2.470000
-56.000000	2.550000
-55.000000	2.640000
-54.000000	2.720000
-53.000000	2.820000
-52.000000	2.910000
-51.000000	3.010000
-50.000000	3.110000
-49.000000	3.220000
-48.000000	3.320000
-47.000000	3.440000
-46.000000	3.550000
-45.000000	3.670000
-44.000000	3.790000
-43.000000	3.920000
-42.000000	4.050000
-41.000000	4.190000
-40.000000	4.330000
-39.000000	4.470000
-38.000000	4.620000
-37.000000	4.770000
-36.000000	4.930000
-35.000000	5.100000
-34.000000	5.260000
-33.000000	5.440000
-32.000000	5.620000
-31.000000	5.800000
-30.000000	5.990000
-29.000000	6.190000
-28.000000	6.390000
-27.000000	6.590000
-26.000000	6.800000
-25.000000	7.020000
-24.000000	7.240000
-23.000000	7.470000
-22.000000	7.710000
-21.000000	7.950000
-20.000000	8.190000
-19.000000	8.440000
-18.000000	8.690000
-17.000000	8.950000
-16.000000	9.220000
-15.000000	9.480000
-14.000000	9.750000
-13.000000	10.030000
-12.000000	10.300000
-11.000000	10.580000
-10.000000	10.860000
-9.000000	11.130000
-8.000000	11.410000
-7.000000	11.690000
-6.000000	11.960000
-5.000000	12.230000
-4.000000	12.490000
-3.000000	12.740000
-2.000000	12.990000
-1.000000	13.230000
0.000000	13.450000
1.000000	13.670000
2.000000	13.870000
3.000000	14.050000
4.000000	14.220000
5.000000	14.370000
6.000000	14.490000
7.000000	14.600000
8.000000	14.690000
9.000000	14.750000
10.000000	14.790000
11.000000	14.810000
12.000000	14.800000
13.000000	14.770000
14.000000	14.710000
15.000000	14.630000
16.000000	14.530000
17.000000	14.410000
18.000000	14.260000
19.000000	14.100000
20.000000	13.910000
21.000000	13.710000
22.000000	13.500000
23.000000	13.270000
24.000000	13.020000
25.000000	12.770000
26.000000	12.510000
27.000000	12.230000
28.000000	11.950000
29.000000	11.660000
30.000000	11.360000
31.000000	11.050000
32.000000	10.700000
33.000000	10.220000
34.000000	4.980000
35.000000	10.600000
36.000000	10.070000
37.000000	9.720000
38.000000	9.410000
39.000000	9.130000
40.000000	8.870000
41.000000	8.610000
42.000000	8.360000
43.000000	8.130000
44.000000	7.890000
45.000000	7.670000
46.000000	7.450000
47.000000	7.250000
48.000000	7.040000
49.000000	6.850000
50.000000	6.660000
51.000000	6.480000
52.000000	6.300000
53.000000	6.130000
54.000000	5.970000
55.000000	5.810000
56.000000	5.660000
57.000000	5.510000
58.000000	5.370000
59.000000	5.240000
60.000000	5.100000
61.000000	4.980000
62.000000	4.860000
63.000000	4.740000
64.000000	4.630000
65.000000	4.520000
66.000000	4.410000
67.000000	4.310000
68.000000	4.210000
69.000000	4.120000
70.000000	4.030000
71.000000	3.940000
72.000000	3.860000
73.000000	3.780000
74.000000	3.700000
75.000000	3.620000
76.000000	3.550000
77.000000	3.480000
78.000000	3.410000
79.000000	3.340000
80.000000	3.280000
81.000000	3.220000
82.000000	3.160000
83.000000	3.100000
84.000000	3.040000
85.000000	2.990000
86.000000	2.940000
87.000000	2.890000
88.000000	2.840000
89.000000	2.790000
90.000000	2.740000
91.000000	2.700000
92.000000	2.650000
93.000000	2.610000
94.000000	2.570000
95.000000	2.530000
96.000000	2.490000
97.000000	2.450000
98.000000	2.420000
99.000000	2.380000
100.000000	2.350000
